id;Наименование продукта;kal
1582;Детское питание, Смесь фруктов йогурт, пюре;185
1583;Детское питание, Смесь фруктовых соков с низкожирным йогуртом;149
1584;Детское питание, Сок банана, с маложирный йогуртом;73
1585;Детское питание, Сок, апельсин и виноград;78
1586;Детское питание, Сок, апельсиновый;163
1587;Детское питание, Сок, грушевый;245
1588;Детское питание, Сок, из апельсинов и абрикосов;113
1589;Детское питание, Сок, из апельсинов и ананасов;198
1590;Детское питание, Сок, из апельсинов и бананов;67
1591;Детское питание, Сок, из морковно-апельсиновый;275
1592;Детское питание, Сок, из чернослив и апельсина;131
1593;Детское питание, Сок, фруктовая смесь;175
1594;Детское питание, Сок, фруктовый пунш, с кальцием;285
1595;Детское питание, Сок, яблоко;184
1596;Детское питание, Сок, яблоко и персик;247
